Mov_id,Title,Year,Critic_rate,Aud_rate,Aud_count,Dir_id
4027,O Brother Where Art Thou?,2000,7.1,3.7,35122,ethan_coen
4900,Out Cold,2001,2.9,3.5,7234,brendan-malloy
1,Toy story,1995,9,3.7,102338,john_lasseter
2,Jumanji,1995,5.6,3.2,44587,joe_johnston
3,Grumpy Old Men,1993,5.9,3.2,10489,donald_petrie
4,Waiting to Exhale,1995,5.6,3.3,5666,forest_whitaker
5,Father of the Bride Part II,1995,5.3,3,13761,charles_shyer
6,Heat,1995,7.7,3.9,42785,michael_mann
7,Sabrina,1954,7.4,3.8,12812,billy_wilder
8,Tom and Huck,1995,4.2,2.7,2649,1052316-peter_hewitt
9,Sudden Death,1995,5.2,2.6,3626,peter_hyams
10,GoldenEye,1995,6.8,3.4,28260,martin_campbell
11,The American President,1995,7,3.2,8320,rob_reiner
12,Dracula: Dead and Loving It,1995,3,2.8,10078,mel_brooks
13,Balto,1995,5.8,3.2,9195,simon_wells
14,Nixon,1995,6.7,3.5,3256,oliver_stone
15,Cutthroat Island,1995,4.4,2.6,3350,renny_harlin
16,Casino,1995,7.2,3.9,66463,martin_scorsese
17,Sense and Sensibility,1995,7.9,3.8,32782,ang_lee
18,Four Rooms,1995,3.5,3.5,14266,alexandre_rockwell
19,Ace Ventura: When Nature Calls,1995,4.1,3.2,87306,steve_oedekerk
20,Money Train,1995,4,2.7,5263,joseph_ruben
21,Get Shorty,1995,7.7,3.2,10155,barry_sonnenfeld
22,Copycat,1995,6.6,3.1,5628,jon_amiel
23,Ninja Assassin,2009,4.3,3.4,107023,1165744-james_mcteigue
24,Powder,1995,5.2,3.1,6650,victor_salva
25,Leaving Las Vegas,1995,7.7,3.6,12742,mike_figgis
26,Othello,1995,6.3,3.3,2018,oliver_parker
27,Now and Then,1995,4.7,3.5,17168,lesli_linka_glatter
28,Persuasion,1995,7.7,3.9,7968,roger_michell
29,La cité des enfants perdus,1995,7,4,22420,jeanpierre_jeunet
30,Yao a yao yao dao waipo qiao,1995,6.8,3.6,1061,zhang_yimou
31,Dangerous Minds,1995,4.7,3.1,12136,john_n_smith
32,Twelve Monkeys,1995,0,0,0,siddharth_randeria
33,Wings of Courage,1995,0,0,0,jeanjacques_annaud
34,Babe,1995,8.2,3,22954,chris_noonan
35,Carrington,1995,6.2,3.5,781,christopher_hampton
36,Dead Man Walking,1995,8.2,3.6,15450,tim_robbins
37,Across the Sea of Time,1995,0,2.9,237,stephan_low
38,It Takes Two,1995,3.9,2.9,16311,andy_tennant
39,Clueless,1995,0,0,0,andras-solyom
40,Cry the Beloved Country,1995,7.2,3.5,520,darrell_roodt
41,Richard III,1995,8.1,3.7,1552,richard_loncraine
42,Dead Presidents,1995,5.7,3.3,4475,albert_hughes
43,Restoration,1995,6.3,3.3,1103,michael_hoffman
44,Mortal Kombat,1995,4.4,2.8,18291,paul_anderson
45,Live Free or Die Hard,2007,6.8,3.9,1145097,len_wiseman
46,How to Make an American Quilt,1995,5.6,3.2,2626,jocelyn_moorhouse
47,Shichinin no samurai,1954,9.2,4.5,29509,akira_kurosawa
48,Pocahontas,1995,6,3.2,37858,mike-gabriel
49,When Night Is Falling,1995,5.7,3.9,1132,patricia_rozema
50,The Usual Suspects,1995,7.5,4.2,109588,bryan_singer
52,Mighty Aphrodite,1995,6.7,3.3,4866,woody_allen
53,Lamerica,1994,8,3.9,239,gianni_amelio
54,The Big Green,1995,2.8,2.7,2596,holly_goldberg_sloan
55,Georgia Rule,2007,3.8,3,64056,garry_marshall
56,Kids of the Round Table,1997,0,0,0,robert_tinnell
57,Home for the Holidays,1995,6,3.4,3045,jodie_foster
58,Il postino,1994,7.9,4.1,5794,michael_radford
59,Le confessionnal,1995,0,0,0,robert_lepage
60,The Indian in the Cupboard,1995,6.2,2.7,5127,frank_oz
61,Eye for an Eye,1996,0,0,0,sara_botsford
62,Mr. Holland's Opus,1995,6.7,3.5,9569,stephen_herek
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,4.5,0,0,paris-barclay
64,Two If by Sea,1996,3.9,2.6,1608,bill_bennett
65,Bio-Dome,1996,1.9,2.6,8972,jason_bloom
66,Lawnmower Man 2: Beyond Cyberspace,1996,2.8,2.1,952,farhad_mann
67,Two Bits,1995,5,3.3,685,james_foley
68,Gazon maudit,1995,6.1,3.4,597,josiane_balasko
69,Friday,1995,0,0,0,marek_koterski
70,From Dusk Till Dawn,1996,6,3.4,36073,robert_rodriguez
71,Fair Game,1995,2.4,2.1,1761,andrew_sipes
72,Kicking & Screaming,2005,5.1,3,14260,jesse_dylan
73,Les misérables,1998,6.9,3.6,7310,bille_august
74,Bed of Roses,1996,5.3,3.2,3163,michael_goldenberg
75,Big Bully,1996,2.8,2.4,1459,steve_miner
76,Screamers,1995,4.7,3,2070,christian_duguay
77,Nico Icon,1995,7.1,4,87,susanne_ofteringer
78,The Crossing Guard,1995,6.5,3.3,2170,sean_penn
79,The Juror,1996,4.4,2.8,2266,brian_gibson
80,Badkonake sefid,1995,6.8,4,547,jafar_panahi
81,Things to Do in Denver When You're Dead,1995,4.9,3.5,3197,gary_fleder
82,Antonia,1995,6.5,4.2,1707,marleen_gorris
83,Once Upon a Time... When We Were Colored,1995,7.3,3.7,414,1146513-tim_reid
84,Last Summer in the Hamptons,1995,5.6,3.3,89,henry_jaglom
85,Angels and Insects,1995,6.5,3.3,635,philip_haas
86,White Squall,1996,5.8,3.2,3184,director-ridley-scott
